id_cliente,total_comprado,nombre_completo,email,id_localidad
195,2935.3199999999997,Mark Lane,parrishjacqueline@example.com,4.0
162,2756.99,Dennis Wilson,megan77@example.net,5.0
197,2675.3,Sierra Bowman,masonpaul@example.net,2.0
30,2469.43,Sherry Morse,lmiddleton@example.org,4.0
41,1829.93,Alexandra Nguyen,lgeorge@example.net,4.0
178,1805.35,Ann Barber,hsharp@example.net,1.0
121,1749.81,Valerie Garza,lori02@example.net,3.0
89,1748.79,Diane Murphy,stephanie29@example.net,1.0
87,1690.47,Michael Perry,gregory19@example.net,1.0
66,1624.88,Megan Guzman,vknight@example.org,3.0
165,1617.77,Jason Patel,kristin55@example.org,4.0
27,1542.53,Marcus Wilson,millerluis@example.com,1.0
177,1527.42,Diana Wood,jamesharris@example.com,5.0
114,1520.21,Regina Mckinney,tatemaria@example.org,3.0
199,1408.34,Kara Taylor,clarkanthony@example.com,5.0
159,1391.54,Karen Wheeler,sjohnson@example.com,4.0
118,1356.29,Nancy Thomas,michael01@example.net,4.0
184,1341.9299999999998,Jonathan Sims,jandrews@example.org,1.0
24,1332.73,Alice Silva,adkinsrita@example.net,1.0
174,1257.34,Sandra Castro,morgankyle@example.com,4.0
56,1192.58,Jeffery Williams,cherylgomez@example.net,3.0
62,1188.91,Lisa Frazier,nashshawn@example.org,4.0
23,1178.29,Mark Roberts,maria66@example.org,4.0
3,1177.01,,,
144,1102.7,Sara Moreno,mccarthytracey@example.net,1.0
151,1101.5900000000001,Kaitlin Carlson,jennifermorrison@example.org,1.0
2,1095.45,Marcus Perkins,npeters@example.org,1.0
126,1095.13,Elizabeth Miller,oponce@example.com,4.0
128,1070.66,Paul Mack,williamdavis@example.org,3.0
145,1070.15,Mark Medina,carteralexandra@example.com,5.0
93,1035.3400000000001,Anna Blair,kimberlymorton@example.net,4.0
73,1034.95,Debra Anderson,vwright@example.org,2.0
171,1028.26,Ronald Cox,ljenkins@example.net,5.0
94,1028.17,Shane Bolton,hansencassandra@example.org,2.0
49,1026.52,John White,meyeralyssa@example.org,5.0
160,1009.55,Matthew Martinez,christina88@example.com,3.0
180,991.51,Patricia Hill,hayden56@example.org,4.0
82,988.74,Alexandra Sandoval,teresawebb@example.org,5.0
75,982.29,Misty Thomas,sarahlittle@example.org,1.0
158,981.91,Brittany Cooke,msimmons@example.org,2.0
172,977.4300000000001,Jillian Williams,deborahcarroll@example.net,1.0
44,975.51,Patricia Manning,marcallen@example.org,3.0
196,972.98,Sarah Reid,sstrickland@example.com,3.0
18,970.42,Raymond Brown,wgreen@example.com,2.0
154,965.77,Tyler Arnold,stephanie15@example.org,1.0
50,953.45,Brian Shea,jeremiah77@example.net,1.0
10,952.0,Benjamin Bullock,kwilliams@example.org,3.0
4,950.86,William Taylor,perkinskimberly@example.org,3.0
8,946.27,Alyssa Campos,ayersdustin@example.org,5.0
85,941.5,Christopher Mahoney,petersonanthony@example.org,5.0
141,939.15,Mary Ellis,evanscott@example.org,4.0
32,894.83,Michael Gonzalez,dgreer@example.net,4.0
110,878.94,Christopher Hudson,esalazar@example.org,2.0
59,873.81,Brandon Heath,gregg62@example.org,1.0
181,862.23,Richard Berry,omartinez@example.com,1.0
13,857.37,Colleen Henderson,grahamjohn@example.com,1.0
53,856.49,Stephen Grant,harrisjacob@example.com,5.0
134,847.23,Shelly Dunn,ataylor@example.org,4.0
63,834.63,Deborah Garcia,thomaswendy@example.org,1.0
161,817.82,Michael Shepherd,kaylagibson@example.net,5.0
5,786.75,Olivia Anderson,brianclark@example.net,4.0
153,783.25,Cory Wilson,hannahhicks@example.com,5.0
182,769.44,Jeremy Adams,mramos@example.org,1.0
45,766.26,Kimberly Fitzgerald,jacob07@example.com,3.0
168,759.56,Leslie Fisher,andersonamanda@example.net,4.0
88,740.98,Erin Ramos,jerry17@example.net,2.0
103,734.52,Sophia Donovan,dickersonkelly@example.net,4.0
58,733.05,Kevin Hernandez,colleensolomon@example.com,3.0
104,730.97,Candice Boyd,vsantos@example.net,5.0
79,728.19,Heather Rowland,brandon00@example.net,2.0
188,723.84,Brooke Smith,phillip44@example.org,1.0
48,720.7,William Richardson,steven19@example.com,5.0
173,707.02,Javier Moore,danielle60@example.com,5.0
124,684.47,Jasmine Wilkins,mitchellperry@example.com,5.0
105,658.14,Carrie Myers,uhutchinson@example.org,3.0
77,656.96,Jerry Dominguez,goodmanstephen@example.org,4.0
43,656.85,Sally Johnson,hmartinez@example.net,2.0
65,655.4000000000001,John Townsend,ngraham@example.org,5.0
132,642.99,John Bailey,uhutchinson@example.net,5.0
138,642.05,Raymond Mendez,erinpowell@example.com,1.0
143,621.2,John Wright,leah05@example.net,3.0
149,620.4,Cameron Pruitt,yrodriguez@example.net,2.0
139,616.05,Joshua Martin,wcarney@example.com,3.0
31,609.12,Larry Collins,ryanamber@example.com,1.0
11,595.0600000000001,Brady Chandler,ehansen@example.com,5.0
106,593.48,Debra Joseph,atkinsonalicia@example.net,3.0
91,584.03,Valerie Mora,anita08@example.net,4.0
96,577.2,Elizabeth Dennis,rrocha@example.net,2.0
99,567.9,Mark Romero,landrykatherine@example.net,5.0
71,555.16,Elizabeth Wilcox,soniabruce@example.com,1.0
