id_cliente,nombre,apellido,email,telefono,direccion,id_localidad,nombre_completo
1,Cliente_1,Apellido_1,cliente1@email.com,123-456-0001,Calle 1 # 10,8,Cliente_1 Apellido_1
2,Cliente_2,Apellido_2,cliente2@email.com,123-456-0002,Calle 2 # 20,2,Cliente_2 Apellido_2
3,Cliente_3,Apellido_3,cliente3@email.com,123-456-0003,Calle 3 # 30,8,Cliente_3 Apellido_3
4,Cliente_4,Apellido_4,cliente4@email.com,123-456-0004,Calle 4 # 40,3,Cliente_4 Apellido_4
5,Cliente_5,Apellido_5,cliente5@email.com,123-456-0005,Calle 5 # 50,2,Cliente_5 Apellido_5
6,Cliente_6,Apellido_6,cliente6@email.com,123-456-0006,Calle 6 # 60,4,Cliente_6 Apellido_6
7,Cliente_7,Apellido_7,cliente7@email.com,123-456-0007,Calle 7 # 70,6,Cliente_7 Apellido_7
8,Cliente_8,Apellido_8,cliente8@email.com,123-456-0008,Calle 8 # 80,6,Cliente_8 Apellido_8
9,Cliente_9,Apellido_9,cliente9@email.com,123-456-0009,Calle 9 # 90,4,Cliente_9 Apellido_9
10,Cliente_10,Apellido_10,cliente10@email.com,123-456-0010,Calle 10 # 100,6,Cliente_10 Apellido_10
11,Cliente_11,Apellido_11,cliente11@email.com,123-456-0011,Calle 11 # 110,5,Cliente_11 Apellido_11
12,Cliente_12,Apellido_12,cliente12@email.com,123-456-0012,Calle 12 # 120,7,Cliente_12 Apellido_12
13,Cliente_13,Apellido_13,cliente13@email.com,123-456-0013,Calle 13 # 130,8,Cliente_13 Apellido_13
14,Cliente_14,Apellido_14,cliente14@email.com,123-456-0014,Calle 14 # 140,6,Cliente_14 Apellido_14
15,Cliente_15,Apellido_15,cliente15@email.com,123-456-0015,Calle 15 # 150,6,Cliente_15 Apellido_15
16,Cliente_16,Apellido_16,cliente16@email.com,123-456-0016,Calle 16 # 160,10,Cliente_16 Apellido_16
17,Cliente_17,Apellido_17,cliente17@email.com,123-456-0017,Calle 17 # 170,6,Cliente_17 Apellido_17
18,Cliente_18,Apellido_18,cliente18@email.com,123-456-0018,Calle 18 # 180,7,Cliente_18 Apellido_18
19,Cliente_19,Apellido_19,cliente19@email.com,123-456-0019,Calle 19 # 190,4,Cliente_19 Apellido_19
20,Cliente_20,Apellido_20,cliente20@email.com,123-456-0020,Calle 20 # 200,3,Cliente_20 Apellido_20
21,Cliente_21,Apellido_21,cliente21@email.com,123-456-0021,Calle 21 # 210,1,Cliente_21 Apellido_21
22,Cliente_22,Apellido_22,cliente22@email.com,123-456-0022,Calle 22 # 220,7,Cliente_22 Apellido_22
23,Cliente_23,Apellido_23,cliente23@email.com,123-456-0023,Calle 23 # 230,2,Cliente_23 Apellido_23
24,Cliente_24,Apellido_24,cliente24@email.com,123-456-0024,Calle 24 # 240,8,Cliente_24 Apellido_24
25,Cliente_25,Apellido_25,cliente25@email.com,123-456-0025,Calle 25 # 250,9,Cliente_25 Apellido_25
26,Cliente_26,Apellido_26,cliente26@email.com,123-456-0026,Calle 26 # 260,4,Cliente_26 Apellido_26
27,Cliente_27,Apellido_27,cliente27@email.com,123-456-0027,Calle 27 # 270,3,Cliente_27 Apellido_27
28,Cliente_28,Apellido_28,cliente28@email.com,123-456-0028,Calle 28 # 280,5,Cliente_28 Apellido_28
29,Cliente_29,Apellido_29,cliente29@email.com,123-456-0029,Calle 29 # 290,2,Cliente_29 Apellido_29
30,Cliente_30,Apellido_30,cliente30@email.com,123-456-0030,Calle 30 # 300,2,Cliente_30 Apellido_30
